cpu,memory,disk,processes,label
99.0,87.5,43.7,304,1
95.4,87.5,43.7,304,1
97.1,87.6,43.7,304,1
98.1,87.6,43.7,304,1
93.5,87.6,43.7,304,1
94.6,87.7,43.7,304,1
95.8,87.7,43.7,304,1
95.2,87.7,43.7,304,1
95.2,87.6,43.7,304,1
95.2,87.6,43.7,304,1
97.1,87.6,43.7,304,1
95.9,87.6,43.7,304,1
100.0,100.0,43.7,429,-1
93.3,87.9,43.7,304,1
96.0,87.9,43.7,304,1
95.7,88.1,43.7,304,1
97.5,88.1,43.7,304,1
96.2,88.1,43.7,304,1
95.2,88.1,43.7,304,1
100.0,100.0,43.7,494,-1
97.3,88.1,43.7,304,1
95.0,88.2,43.7,304,1
98.8,88.3,43.7,304,1
95.0,88.3,43.7,304,1
96.4,88.3,43.7,304,1
97.7,88.3,43.7,304,1
93.3,88.2,43.7,304,1
96.0,88.2,43.7,304,1
98.5,88.8,43.7,305,1
98.3,89.0,43.7,305,1
100.0,100.0,43.7,416,-1
95.3,88.3,43.7,305,1
95.2,88.4,43.7,305,1
97.7,88.4,43.7,305,1
96.4,88.4,43.7,305,1
94.5,88.4,43.7,305,1
96.6,88.4,43.7,305,1
93.5,88.3,43.7,305,1
91.0,88.7,43.7,305,1
97.3,88.6,43.7,305,1
94.5,89.9,43.7,305,1
95.8,90.0,43.7,305,1
98.0,88.6,43.7,305,1
94.4,88.7,43.7,305,1
95.6,88.7,43.7,305,1
95.4,88.7,43.7,305,1
97.1,88.6,43.7,305,1
96.5,88.8,43.7,305,1
100.0,100.0,43.7,483,-1
96.2,89.0,43.7,305,1
96.7,88.8,43.7,305,1
93.6,89.0,43.7,305,1
96.7,89.0,43.7,305,1
96.6,88.8,43.7,305,1
100.0,100.0,43.7,416,-1
97.3,88.9,43.7,305,1
91.9,88.9,43.7,305,1
95.4,88.7,43.7,305,1
98.5,88.5,43.7,305,1
94.4,88.2,43.7,304,1
96.4,88.3,43.7,304,1
95.2,88.1,43.7,304,1
95.7,88.1,43.7,304,1
97.5,88.2,43.7,304,1
94.6,88.1,43.7,304,1
93.9,88.2,43.7,304,1
100.0,100.0,43.7,466,-1
94.0,88.4,43.7,304,1
96.7,88.4,43.7,304,1
95.6,88.2,43.7,304,1
93.6,88.5,43.7,304,1
97.7,88.3,43.7,304,1
93.7,88.7,43.7,303,1
94.3,88.6,43.7,303,1
96.1,88.7,43.7,303,1
97.3,88.5,43.7,303,1
98.3,88.6,43.7,303,1
96.3,89.1,43.7,303,1
95.4,89.1,43.7,303,1
94.8,89.1,43.7,303,1
95.8,88.9,43.7,303,1
98.3,88.8,43.7,303,1
98.5,89.6,43.7,303,1
95.8,90.0,43.7,303,1
97.9,90.3,43.7,303,1
98.6,89.3,43.7,303,1
97.5,88.9,43.7,303,1
95.2,89.2,43.7,303,1
100.0,100.0,43.7,494,-1
97.1,89.1,43.7,303,1
98.0,89.8,43.7,304,1
97.9,89.8,43.7,304,1
97.0,89.7,43.7,304,1
94.2,89.6,43.7,304,1
96.9,89.7,43.7,304,1
96.9,89.6,43.7,304,1
99.4,89.7,43.7,304,1
97.9,89.8,43.7,304,1
97.3,89.8,43.7,304,1
97.1,89.8,43.7,304,1
98.8,89.8,43.7,304,1
94.7,89.7,43.7,304,1
98.1,89.8,43.7,304,1
98.7,89.7,43.7,304,1
96.0,90.1,43.7,304,1
93.5,90.9,43.7,304,1
99.2,90.6,43.7,304,1
97.7,89.7,43.7,304,1
98.1,89.8,43.7,304,1
95.3,89.8,43.7,304,1
96.0,90.1,43.7,304,1
98.5,90.2,43.7,304,1
98.8,90.2,43.7,304,1
93.5,90.8,43.7,304,1
95.6,91.6,43.7,304,1
98.7,91.6,43.7,304,1
100.0,100.0,43.7,430,-1
99.4,90.1,43.7,304,1
99.0,90.4,43.7,304,1
99.8,90.6,43.7,304,1
95.4,91.1,43.7,304,1
99.8,90.1,43.7,303,1
99.2,90.3,43.7,303,1
99.1,90.3,43.7,303,1
91.5,90.8,43.7,303,1
96.0,89.4,43.7,303,1
99.2,89.7,43.7,303,1
100.0,89.1,43.7,303,1
99.0,89.2,43.7,303,1
97.7,89.0,43.7,303,1
99.8,88.8,43.7,303,1
97.9,89.1,43.7,303,1
97.9,89.3,43.7,303,1
99.8,89.2,43.7,303,1
97.9,89.1,43.7,303,1
95.8,89.3,43.7,303,1
99.8,89.4,43.7,303,1
99.3,90.0,43.7,303,1
99.6,90.0,43.7,303,1
98.7,90.0,43.7,303,1
99.6,89.4,43.7,303,1
98.1,89.4,43.7,303,1
98.3,89.3,43.7,303,1
100.0,100.0,43.7,468,-1
99.6,90.1,43.7,303,1
97.9,90.0,43.7,303,1
99.1,90.2,43.7,303,1
98.5,90.2,43.7,303,1
98.3,89.5,43.7,303,1
98.6,90.0,43.7,303,1
97.9,90.4,43.7,303,1
97.9,90.3,43.7,302,1
100.0,89.6,43.7,302,1
99.1,89.3,43.7,302,1
96.1,89.3,43.7,302,1
100.0,100.0,43.7,442,-1
95.4,88.9,43.7,302,1
96.2,89.0,43.7,302,1
93.5,90.0,43.7,303,1
86.6,90.0,43.7,303,1
89.7,89.9,43.7,303,1
92.1,89.7,43.7,303,1
99.3,89.7,43.7,303,1
97.3,89.7,43.7,303,1
98.3,89.6,43.7,303,1
97.1,89.6,43.7,303,1
88.4,89.9,43.7,303,1
100.0,100.0,43.7,454,-1
95.2,89.5,43.7,303,1
86.2,89.9,43.7,303,1
89.1,89.7,43.7,303,1
100.0,100.0,43.7,478,-1
91.0,89.7,43.7,303,1
89.6,90.0,43.7,303,1
90.4,89.8,43.7,303,1
92.0,89.8,43.7,303,1
86.4,90.0,43.7,303,1
92.3,89.9,43.7,303,1
89.4,89.8,43.7,303,1
96.0,90.1,43.7,303,1
96.4,89.7,43.7,305,1
95.0,90.1,43.7,309,1
100.0,100.0,43.7,503,-1
90.2,90.3,43.7,309,1
83.1,90.2,43.7,309,1
93.3,90.0,43.7,309,1
91.1,90.0,43.7,307,1
89.1,90.0,43.7,307,1
96.0,90.1,43.7,306,1
89.0,89.3,43.7,306,1
89.4,89.8,43.7,306,1
92.3,90.1,43.7,306,1
95.0,89.4,43.7,306,1
91.5,89.9,43.7,306,1
94.8,90.1,43.7,306,1
91.3,89.8,43.7,306,1
94.4,89.6,43.7,302,1
87.2,90.1,43.7,302,1
98.1,89.6,43.7,302,1
96.3,89.4,43.7,301,1
87.2,89.9,43.7,301,1
90.8,89.7,43.7,301,1
94.0,89.6,43.7,301,1
86.1,90.0,43.7,301,1
93.3,89.4,43.7,301,1
83.9,89.9,43.7,301,1
100.0,100.0,43.7,483,-1
91.5,89.8,43.7,301,1
86.4,89.9,43.7,301,1
90.0,90.2,43.7,300,1
96.8,89.9,43.7,300,1
93.4,89.4,43.7,300,1
88.8,89.9,43.7,300,1
100.0,100.0,43.7,466,-1
85.9,89.9,43.7,300,1
88.6,89.9,43.7,300,1
87.3,89.5,43.7,300,1
89.1,89.9,43.7,299,1
93.2,89.9,43.7,299,1
85.8,90.1,43.7,299,1
91.4,89.8,43.7,299,1
100.0,100.0,43.7,443,-1
90.9,90.2,43.7,299,1
92.3,89.5,43.7,299,1
86.3,89.9,43.7,299,1
91.7,90.3,43.7,299,1
98.1,89.9,43.7,299,1
90.9,89.5,43.7,299,1
87.6,90.1,43.7,299,1
96.3,89.9,43.7,299,1
100.0,100.0,43.7,403,-1
84.4,90.0,43.7,299,1
97.1,89.9,43.7,299,1
89.8,90.3,43.7,299,1
87.7,90.1,43.7,299,1
100.0,100.0,43.7,471,-1
87.8,90.2,43.7,299,1
96.8,90.1,43.7,299,1
89.2,90.3,43.7,299,1
100.0,100.0,43.7,451,-1
95.6,89.8,43.7,299,1
84.9,90.2,43.7,299,1
88.7,90.1,43.7,299,1
96.1,90.0,43.7,299,1
83.9,90.4,43.7,299,1
89.4,90.2,43.7,299,1
94.4,90.1,43.7,299,1
85.5,90.4,43.7,299,1
92.7,89.8,43.7,299,1
98.3,89.8,43.7,299,1
87.4,90.3,43.7,299,1
92.3,89.9,43.7,299,1
96.5,90.0,43.7,299,1
88.3,90.4,43.7,299,1
90.8,90.7,43.7,299,1
94.4,90.1,43.7,299,1
100.0,100.0,43.7,467,-1
100.0,100.0,43.7,455,-1
97.7,89.9,43.7,299,1
99.2,89.4,43.7,299,1
96.9,88.8,43.7,299,1
100.0,100.0,43.7,432,-1
96.3,87.7,43.7,299,1
87.1,87.8,43.7,299,1
85.1,88.3,43.7,299,1
96.4,88.0,43.7,299,1
96.7,87.8,43.7,299,1
90.8,87.9,43.7,299,1
94.5,87.7,43.7,299,1
87.1,88.0,43.7,299,1
95.2,87.9,43.7,299,1
86.3,88.2,43.7,299,1
88.9,88.0,43.7,299,1
93.7,87.7,43.7,299,1
92.1,87.7,43.7,299,1
84.0,88.0,43.7,299,1
91.9,88.5,43.7,299,1
94.7,88.0,43.7,299,1
100.0,100.0,43.7,449,-1
84.1,88.5,43.7,299,1
92.7,88.0,43.7,299,1
96.9,88.0,43.7,299,1
97.9,87.8,43.7,299,1
89.6,88.3,43.7,299,1
92.0,88.2,43.7,299,1
89.4,88.1,43.7,299,1
87.5,88.5,43.7,299,1
93.1,88.1,43.7,299,1
88.5,88.1,43.7,299,1
90.2,88.3,43.7,299,1
100.0,100.0,43.7,457,-1
100.0,100.0,43.7,426,-1
92.4,89.0,43.7,300,1
91.7,88.7,43.7,300,1
94.8,88.8,43.7,300,1
91.1,88.9,43.7,300,1
100.0,100.0,43.7,452,-1
94.3,89.0,43.7,300,1
86.2,89.0,43.7,300,1
87.2,89.4,43.7,300,1
95.7,89.1,43.7,300,1
86.8,89.2,43.7,300,1
